Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7819107,WHS3_41,COUNTRY,GRC,EUR,YEAR,Europe,,,2011,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7819246,WHS3_41,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,,,1985,,,,,,,2,2.0,,,,2025-07-14T16:36:19.017+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
7822640,WHS3_41,COUNTRY,MNP,WPR,YEAR,Western Pacific,,,2005,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
7823875,WHS3_41,COUNTRY,UKR,EUR,YEAR,Europe,,,2019,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7824486,WHS3_41,COUNTRY,TGO,AFR,YEAR,Africa,,,1976,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
7825125,WHS3_41,COUNTRY,JAM,AMR,YEAR,Americas,,,1995,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
7825886,WHS3_41,COUNTRY,VEN,AMR,YEAR,Americas,,,2010,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7826041,WHS3_41,COUNTRY,PYF,WPR,YEAR,Western Pacific,,,1996,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
7827077,WHS3_41,COUNTRY,TGO,AFR,YEAR,Africa,,,1979,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
7827136,WHS3_41,COUNTRY,BRA,AMR,YEAR,Americas,,,1986,,,,,,,1804,1804.0,,,,2025-07-14T16:36:19.017+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
7827688,WHS3_41,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2023,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
7827699,WHS3_41,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,,1987,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
7828057,WHS3_41,COUNTRY,PRK,SEAR,YEAR,South-East Asia,,,2022,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7828319,WHS3_41,COUNTRY,HTI,AMR,YEAR,Americas,,,2006,,,,,,,5,5.0,,,,2025-07-14T16:36:19.017+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
7831114,WHS3_41,REGION,WPR,,YEAR,,,,2007,,,,,,,80,80.0,,,,2025-07-14T16:36:19.017+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
7834862,WHS3_41,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2010,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7835466,WHS3_41,COUNTRY,BRN,WPR,YEAR,Western Pacific,,,2018,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7837324,WHS3_41,COUNTRY,TCA,AMR,YEAR,Americas,,,1981,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
7837473,WHS3_41,COUNTRY,CAN,AMR,YEAR,Americas,,,1996,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
7838180,WHS3_41,COUNTRY,DMA,AMR,YEAR,Americas,,,2007,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
7838980,WHS3_41,COUNTRY,ATG,AMR,YEAR,Americas,,,2000,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
7839888,WHS3_41,COUNTRY,BEL,EUR,YEAR,Europe,,,1993,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
7840743,WHS3_41,COUNTRY,MAC,,YEAR,,,,2005,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
7841019,WHS3_41,COUNTRY,PYF,WPR,YEAR,Western Pacific,,,2008,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
7841039,WHS3_41,COUNTRY,ZAF,AFR,YEAR,Africa,,,2003,,,,,,,3,3.0,,,,2025-07-14T16:36:19.017+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
7842945,WHS3_41,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,,,1980,,,,,,,5,5.0,,,,2025-07-14T16:36:19.017+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
7842994,WHS3_41,COUNTRY,CYM,AMR,YEAR,Americas,,,1974,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
7843596,WHS3_41,COUNTRY,FRA,EUR,YEAR,Europe,,,2006,,,,,,,3,3.0,,,,2025-07-14T16:36:19.017+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
7844366,WHS3_41,COUNTRY,GBR,EUR,YEAR,Europe,,,2018,,,,,,,15,15.0,,,,2025-07-14T16:36:19.017+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7846105,WHS3_41,COUNTRY,LVA,EUR,YEAR,Europe,,,1999,,,,,,,81,81.0,,,,2025-07-14T16:36:19.017+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
7846392,WHS3_41,COUNTRY,BOL,AMR,YEAR,Americas,,,2002,,,,,,,5,5.0,,,,2025-07-14T16:36:19.017+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7846617,WHS3_41,GLOBAL,GLOBAL,,YEAR,,,,2012,,,,,,,4490,4490.0,,,,2025-07-14T16:36:19.017+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7847638,WHS3_41,COUNTRY,GUY,AMR,YEAR,Americas,,,2005,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
7847678,WHS3_41,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,,1992,,,,,,,4,4.0,,,,2025-07-14T16:36:19.017+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
7847998,WHS3_41,REGION,WPR,,YEAR,,,,2009,,,,,,,129,129.0,,,,2025-07-14T16:36:19.017+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7848597,WHS3_41,COUNTRY,NGA,AFR,YEAR,Africa,,,1989,,,,,,,5039,5039.0,,,,2025-07-14T16:36:19.017+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
7848758,WHS3_41,COUNTRY,HND,AMR,YEAR,Americas,,,2018,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7849915,WHS3_41,COUNTRY,MUS,AFR,YEAR,Africa,,,2006,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
7852565,WHS3_41,COUNTRY,BRB,AMR,YEAR,Americas,,,2000,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
