Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
15084,WHS3_62,COUNTRY,TCA,AMR,YEAR,Americas,,,1984,,,,,,,6,6.0,,,,2025-07-14T16:36:19.017+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
15515,WHS3_62,COUNTRY,BRA,AMR,YEAR,Americas,,,2020,,,,,,,8448,8448.0,,,,2025-07-14T16:36:19.017+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
15846,WHS3_62,COUNTRY,NOR,EUR,YEAR,Europe,,,2000,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
22524,WHS3_62,COUNTRY,UGA,AFR,YEAR,Africa,,,2014,,,,,,,314,314.0,,,,2025-07-14T16:36:19.017+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
26490,WHS3_62,COUNTRY,FJI,WPR,YEAR,Western Pacific,,,1977,,,,,,,2384,2384.0,,,,2025-07-14T16:36:19.017+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
26739,WHS3_62,COUNTRY,BRN,WPR,YEAR,Western Pacific,,,2001,,,,,,,11,11.0,,,,2025-07-14T16:36:19.017+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
26876,WHS3_62,COUNTRY,MDV,SEAR,YEAR,South-East Asia,,,2021,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
27207,WHS3_62,COUNTRY,TUV,WPR,YEAR,Western Pacific,,,1977,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
28849,WHS3_62,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,1977,,,,,,,133 654,133654.0,,,,2025-07-14T16:36:19.017+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
29018,WHS3_62,COUNTRY,NCL,WPR,YEAR,Western Pacific,,,2024,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
