Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6896246,WHS3_49,COUNTRY,BLZ,YEAR,AMR,Americas,,,1994,,,,,,,0,0.0,,,,2019-09-11T08:27:43+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
6899249,WHS3_49,COUNTRY,ALB,YEAR,EUR,Europe,,,2001,,,,,,,0,0.0,,,,2019-09-11T08:27:33+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6899722,WHS3_49,COUNTRY,KAZ,YEAR,EUR,Europe,,,1995,,,,,,,2,2.0,,,,2019-09-11T08:28:30+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
6901616,WHS3_49,COUNTRY,CHL,YEAR,AMR,Americas,,,2011,,,,,,,0,0.0,,,,2019-09-11T08:27:54+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6905613,WHS3_49,COUNTRY,HND,YEAR,AMR,Americas,,,2003,,,,,,,0,0.0,,,,2019-09-11T08:28:21+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6906810,WHS3_49,COUNTRY,ESP,YEAR,EUR,Europe,,,1988,,,,,,,4,4.0,,,,2019-09-11T08:29:21+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
6907248,WHS3_49,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,,2009,,,,,,,0,0.0,,,,2019-09-11T08:28:24+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6908149,WHS3_49,COUNTRY,GBR,YEAR,EUR,Europe,,,1997,,,,,,,0,0.0,,,,2019-09-11T08:29:34+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
6908175,WHS3_49,COUNTRY,AGO,YEAR,AFR,Africa,,,1988,,,,,,,0,0.0,,,,2019-09-11T08:27:35+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
6908419,WHS3_49,COUNTRY,SYC,YEAR,AFR,Africa,,,1987,,,,,,,0,0.0,,,,2019-09-11T08:29:15+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
6908857,WHS3_49,COUNTRY,HTI,YEAR,AMR,Americas,,,2005,,,,,,,0,0.0,,,,2019-09-11T08:28:20+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6913005,WHS3_49,COUNTRY,LTU,YEAR,EUR,Europe,,,2017,,,,,,,0,0.0,,,,2019-09-11T08:28:37+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6915541,WHS3_49,COUNTRY,COK,YEAR,WPR,Western Pacific,,,2006,,,,,,,0,0.0,,,,2019-09-11T08:27:58+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6925570,WHS3_49,COUNTRY,BRA,YEAR,AMR,Americas,,,2010,,,,,,,0,0.0,,,,2019-09-11T08:27:46+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6926262,WHS3_49,COUNTRY,PRY,YEAR,AMR,Americas,,,1982,,,,,,,74,74.0,,,,2019-09-11T08:29:02+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
6927304,WHS3_49,COUNTRY,MMR,YEAR,SEAR,South-East Asia,,,1986,,,,,,,91,91.0,,,,2019-09-11T08:28:49+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
6928539,WHS3_49,COUNTRY,ZAF,YEAR,AFR,Africa,,,1987,,,,,,,25,25.0,,,,2019-09-11T08:29:20+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
6928549,WHS3_49,COUNTRY,VCT,YEAR,AMR,Americas,,,1986,,,,,,,0,0.0,,,,2019-09-11T08:29:11+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
6931544,WHS3_49,COUNTRY,ARM,YEAR,EUR,Europe,,,2000,,,,,,,0,0.0,,,,2019-09-11T08:27:37+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6931592,WHS3_49,COUNTRY,MOZ,YEAR,AFR,Africa,,,2011,,,,,,,2,2.0,,,,2019-09-11T08:28:48+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6931845,WHS3_49,COUNTRY,CAN,YEAR,AMR,Americas,,,1999,,,,,,,0,0.0,,,,2019-09-11T08:27:53+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
6931893,WHS3_49,COUNTRY,GRC,YEAR,EUR,Europe,,,1995,,,,,,,0,0.0,,,,2019-09-11T08:28:16+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
