Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4557987,WHS4_117,COUNTRY,ZWE,YEAR,AFR,Africa,,,2014,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4563772,WHS4_117,COUNTRY,NGA,YEAR,AFR,Africa,,,2007,,,,,,,42,42.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4577704,WHS4_117,COUNTRY,BFA,YEAR,AFR,Africa,,,2011,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4583665,WHS4_117,COUNTRY,JPN,YEAR,WPR,Western Pacific,,,2017,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4584169,WHS4_117,COUNTRY,GHA,YEAR,AFR,Africa,,,2019,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4589056,WHS4_117,COUNTRY,TGO,YEAR,AFR,Africa,,,2019,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4590460,WHS4_117,COUNTRY,RUS,YEAR,EUR,Europe,,,2007,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4601827,WHS4_117,COUNTRY,NGA,YEAR,AFR,Africa,,,2013,,,,,,,43,43.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4614536,WHS4_117,COUNTRY,FSM,YEAR,WPR,Western Pacific,,,2010,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4615867,WHS4_117,COUNTRY,TTO,YEAR,AMR,Americas,,,2011,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4621664,WHS4_117,COUNTRY,ISL,YEAR,EUR,Europe,,,2012,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4627241,WHS4_117,COUNTRY,CPV,YEAR,AFR,Africa,,,2004,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4628236,WHS4_117,COUNTRY,RWA,YEAR,AFR,Africa,,,2008,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4634673,WHS4_117,COUNTRY,KGZ,YEAR,EUR,Europe,,,2016,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4641155,WHS4_117,COUNTRY,SVK,YEAR,EUR,Europe,,,2000,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4647219,WHS4_117,COUNTRY,MRT,YEAR,AFR,Africa,,,2018,,,,,,,77,77.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4653089,WHS4_117,COUNTRY,ZAF,YEAR,AFR,Africa,,,2015,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
