Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
187685,WHS4_544,COUNTRY,FSM,WPR,YEAR,Western Pacific,,,2024,,,,,,,76,76.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
191676,WHS4_544,COUNTRY,TCD,AFR,YEAR,Africa,,,2010,,,,,,,43,43.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
197921,WHS4_544,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2016,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
199704,WHS4_544,COUNTRY,GEO,EUR,YEAR,Europe,,,2005,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
202961,WHS4_544,COUNTRY,CAF,AFR,YEAR,Africa,,,2021,,,,,,,38,38.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
203380,WHS4_544,COUNTRY,AUT,EUR,YEAR,Europe,,,2013,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
204217,WHS4_544,COUNTRY,MLI,AFR,YEAR,Africa,,,2004,,,,,,,70,70.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
204671,WHS4_544,COUNTRY,MRT,AFR,YEAR,Africa,,,2014,,,,,,,81,81.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
213107,WHS4_544,COUNTRY,MCO,EUR,YEAR,Europe,,,2006,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
216531,WHS4_544,COUNTRY,OMN,EMR,YEAR,Eastern Mediterranean,,,2000,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
217654,WHS4_544,COUNTRY,USA,AMR,YEAR,Americas,,,2004,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
217954,WHS4_544,COUNTRY,AUT,EUR,YEAR,Europe,,,2000,,,,,,,71,71.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
218264,WHS4_544,COUNTRY,BHR,EMR,YEAR,Eastern Mediterranean,,,2022,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
219414,WHS4_544,COUNTRY,ZMB,AFR,YEAR,Africa,,,2007,,,,,,,77,77.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
219655,WHS4_544,COUNTRY,KEN,AFR,YEAR,Africa,,,2005,,,,,,,70,70.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
220166,WHS4_544,COUNTRY,ECU,AMR,YEAR,Americas,,,2004,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
223491,WHS4_544,COUNTRY,GRC,EUR,YEAR,Europe,,,2013,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
225078,WHS4_544,COUNTRY,CAF,AFR,YEAR,Africa,,,2006,,,,,,,47,47.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
225656,WHS4_544,COUNTRY,KEN,AFR,YEAR,Africa,,,2001,,,,,,,77,77.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
231133,WHS4_544,COUNTRY,COG,AFR,YEAR,Africa,,,2001,,,,,,,32,32.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
231299,WHS4_544,COUNTRY,LTU,EUR,YEAR,Europe,,,2000,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
231960,WHS4_544,COUNTRY,ISR,EUR,YEAR,Europe,,,2000,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
234933,WHS4_544,COUNTRY,DEU,EUR,YEAR,Europe,,,2024,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
237697,WHS4_544,COUNTRY,NGA,AFR,YEAR,Africa,,,2009,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
245275,WHS4_544,COUNTRY,NIU,WPR,YEAR,Western Pacific,,,2016,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
247708,WHS4_544,COUNTRY,LSO,AFR,YEAR,Africa,,,2005,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
251693,WHS4_544,COUNTRY,BWA,AFR,YEAR,Africa,,,2007,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
253972,WHS4_544,COUNTRY,AUS,WPR,YEAR,Western Pacific,,,2020,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
266426,WHS4_544,WORLDBANKINCOMEGROUP,WB_LI,,YEAR,,,,2000,,,,,,,53,53.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
267273,WHS4_544,COUNTRY,PLW,WPR,YEAR,Western Pacific,,,2022,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
270247,WHS4_544,COUNTRY,NOR,EUR,YEAR,Europe,,,2000,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
273393,WHS4_544,COUNTRY,JAM,AMR,YEAR,Americas,,,2006,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
275198,WHS4_544,COUNTRY,MWI,AFR,YEAR,Africa,,,2009,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
275538,WHS4_544,COUNTRY,KHM,WPR,YEAR,Western Pacific,,,2012,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
280519,WHS4_544,COUNTRY,HND,AMR,YEAR,Americas,,,2021,,,,,,,77,77.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
281230,WHS4_544,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2010,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
281937,WHS4_544,COUNTRY,SLE,AFR,YEAR,Africa,,,2007,,,,,,,63,63.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
281975,WHS4_544,COUNTRY,GIN,AFR,YEAR,Africa,,,2024,,,,,,,55,55.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
282518,WHS4_544,REGION,WPR,,YEAR,,,,2009,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
288456,WHS4_544,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,,2020,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
289624,WHS4_544,COUNTRY,BIH,EUR,YEAR,Europe,,,2016,,,,,,,79,79.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
289741,WHS4_544,COUNTRY,POL,EUR,YEAR,Europe,,,2008,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
289892,WHS4_544,COUNTRY,TON,WPR,YEAR,Western Pacific,,,2012,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
292396,WHS4_544,COUNTRY,LSO,AFR,YEAR,Africa,,,2021,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
295818,WHS4_544,COUNTRY,TGO,AFR,YEAR,Africa,,,2001,,,,,,,51,51.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
296247,WHS4_544,COUNTRY,NIU,WPR,YEAR,Western Pacific,,,2012,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
300972,WHS4_544,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,,2018,,,,,,,81,81.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
302495,WHS4_544,COUNTRY,USA,AMR,YEAR,Americas,,,2007,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
306015,WHS4_544,COUNTRY,ATG,AMR,YEAR,Americas,,,2011,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
307659,WHS4_544,COUNTRY,GNB,AFR,YEAR,Africa,,,2003,,,,,,,65,65.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
